"TLA NAME","CRASH ROAD","CRASH DIST","CRASH DIRN","INTSN","SIDE ROAD","CRASH ID","CRASH DATE","CRASH DOW","CRASH TIME","MVMT","VEHICLES","CAUSES","OBJECTS STRUCK","ROAD CURVE","ROAD WET","LIGHT","WTHRa","JUNC TYPE","TRAF CTRL","ROAD MARK","SPD LIM","CRASH FATAL CNT","CRASH SEV CNT","CRASH MIN CNT","PERS AGE1","PERS AGE2","EASTING","NORTHING"
"Ashburton District","77/0/12.13",""," ","I","WINCHMORE LAURISTON ROAD","201434038","12/04/2014","Sat","1115","GE","4N1C","157A 160A 387A ","","R","W","O ","F ","X","S","C","100","0","0","0","","","1494994","5148501",
"Ashburton District","77/17/5.379",""," ","I","THOMPSONS TRACK","201436940","12/05/2014","Mon","1845","DC","VN1","335A 404A ","SX","E","D","DN","F ","X","G","C","100","0","0","0","","","1490671","5156492",
"Ashburton District","THOMPSONS TRACK",""," ","I","77/17/5.379","201437668","07/06/2014","Sat","1815","DC","CW1","380A 801 904 ","X","M","W","DN","M ","X","G","C","100","0","0","0","","","1490671","5156492",
"Auckland","1 LINK 20 SBD","100","E"," ","GREAT SOUTH OBR","201400061","21/03/2014","Fri","0258","DA","TW1","111A 131A ","GT","M","D","DO","F "," "," ","C","100","1","0","0","","","1767886","5903891",
"Auckland","16 LINK 1 WBD","200","S"," ","KARANGAHAPE OBR","201437066","10/04/2014","Thu","0252","BF","CS1T","101A 111A 131A 206A 817 ","","M","D","DO","F "," "," ","N","080","0","0","0","","","1756610","5919230",
"Auckland","20 LINK 1 SBD","130","E"," ","SH 20","201437669","22/04/2014","Tue","1831","DA","CE1","102A 410A ","G","E","D","DO","F "," "," ","C","100","0","0","0","","","1768016","5903915",
"Auckland","A DWY UNITEC INSTITUTE","50","N"," ","SEGAR AVENUE","201412204","02/04/2014","Wed","1724","MO","MW1","101A 131A ","K","E","D","O ","F "," "," ","N","050","0","1","0","","","1752555","5917656",
"Auckland","ABBOTTS WAY","60","W"," ","GRAND DRIVE","201411811","27/02/2014","Thu","1132","EA","CW1C","129A 504A ","M","R","D","BF","F "," ","N","C","050","0","0","1","","","1762147","5916088",
"Auckland","ABBOTTS WAY","25","N"," ","KENNETH SMALL PLACE","201432026","29/01/2014","Wed","0709","CB","CE1","130A 645A ","P","R","D","B ","F "," "," ","C","050","0","0","0","","","1762711","5916091",
"Auckland","ABBOTTS WAY","130","E"," ","LADIES MILE","201437904","20/05/2014","Tue","0630"," C","CW1C","372B ","","R","D","DO","F "," ","N","C","050","0","0","0","","","1761536","5915966",
"Auckland","ABBOTTS WAY","300","E"," ","LADIES MILE","201410399","14/01/2014","Tue","1710","JA","CE1C","308B 375B 930 ","","R","D","OF","F ","D","N","C","050","0","0","1","","","1761701","5916003",
"Auckland","ABBOTTS WAY","10","W"," ","NGAHUE DRIVE","201434356","11/04/2014","Fri","1730","FE","CE1C","331A ","","R","D","TO","F ","X","T","C","050","0","0","0","","","1763190","5915990",
"Auckland","ABBOTTS WAY","250","W"," ","NGAHUE DRIVE","201435214","20/03/2014","Thu","1306","EA","CW1C","129A ","M","E","D","B ","F "," "," ","C","050","0","0","0","","","1762958","5916036",
"Auckland","ABERDEEN ROAD","50","W"," ","RAE ROAD","201411094","17/03/2014","Mon","1520","NA","CW1E","306A 376A ","","R","D","B ","F "," "," ","X","050","0","0","1","10","","1757054","5930943",
"Auckland","ACCENT DRIVE",""," ","I","LADY RUBY DRIVE","201433787","01/04/2014","Tue","0705","FB","CN1C","181A ","","R","D","B ","F ","T","G","C","050","0","0","0","","","1769136","5909159",
"Auckland","ACCESS ROAD",""," ","I","SHAMROCK DRIVE","201413795","14/06/2014","Sat","2124","KB","CS1C","300B ","","R","D","DO","F ","T","N","C","050","0","0","1","","","1738918","5928715",
