TLA NAME,CRASH ROAD,CRASH DIST,CRASH DIRN,INTSN,SIDE ROAD,CRASH ID,CRASH DATE,CRASH DOW,CRASH TIME,MVMT,VEHICLES,CAUSES,OBJECTS STRUCK,ROAD CURVE,ROAD WET,LIGHT,WTHRa,JUNC TYPE,TRAF CTRL,ROAD MARK,SPD LIM,CRASH FATAL CNT,CRASH SEV CNT,CRASH MIN CNT,PERS AGE1,PERS AGE2,EASTING,NORTHING
Hutt City,HUTT ROAD,, ,I,THE ESPLANADE,201435813,14/03/2014,Fri,2358,DB,CS1,103A 131A ,S,E,D,DO,F ,R,G,R,50,0,0,0,,,1756109,5434639
Hutt City,HUTT ROAD SLIP,, ,I,PETONE OFFRAMP NORTHBOUND,201412775,01/03/2014,Sat,1500,QB,CE2,532A 663A ,,E,D,BF,F ,R,G,R,50,0,0,1,,,1756045,5434648
Hutt City,JACKSON ST,, ,I,BUICK ST,201433449,01/03/2014,Sat,2027,HA,CN2C,301A 353A 375A ,,R,D,DO,F ,X,S,C,50,0,0,0,,,1757731,5434405
Hutt City,JACKSON ST,15,W, ,SYDNEY ST,201412945,01/06/2014,Sun,712,CB,XE1,129A 358A ,G,R,D,B ,F , , ,L,50,0,0,1,,,1757210,5434633
Hutt City,JESSIE ST,50,S, ,ADELAIDE ST,201435274,07/04/2014,Mon,1720,MB,CN1C,303B ,,R,W,O ,LS, , ,C,50,0,0,0,,,1758363,5433937
Hutt City,KINGS CRESCENT,, ,I,MARINA GROVE,201432915,11/03/2014,Tue,2330,CB,CW1,112A 130A ,S,R,D,DO,F ,T,G,C,50,0,0,0,,,1760426,5436367
Hutt City,KNIGHTS ROAD,5,E, ,CORNWALL ST,201433970,04/04/2014,Fri,830,FD,CW1C,181A ,,R,D,B ,F ,T,G,C,50,0,0,0,,,1760033,5436019
Hutt City,KNIGHTS ROAD,50,E, ,MYRTLE ST,201433541,21/04/2014,Mon,1400,MO,SE1C,181A 925 ,,R,D,BF,F ,D,N,C,50,0,0,0,,,1759817,5436078
Hutt City,KNIGHTS ROAD,, ,I,POHUTUKAWA ST,201430531,29/01/2014,Wed,1005,JA,CW1CC,301B 507B 181C ,,R,D,B ,F ,T,S,R,50,0,0,0,,,1761013,5435750
Hutt City,KNIGHTS ROAD,, ,I,WILLOUGHBY ST,201437429,21/05/2014,Wed,2240,DA,CE1,131A 801 ,K,S,W,DO,L ,T,G,C,50,0,0,0,,,1760492,5435891
Hutt City,KOWHAI ST,, ,I,CAMBRIDGE TERRACE,201430351,03/01/2014,Fri,1440,FB,CW1T,108A 112A ,,R,W,O ,H ,T,S,C,50,0,0,0,,,1763754,5438013
Hutt City,LAERY ST,, ,I,PARLIAMENT ST,201411959,24/02/2014,Mon,1456,QO,VS2T,428A 520A ,Q,R,D,BF,F ,T,N,C,50,0,0,1,,,1758611,5436093
Hutt City,LAINGS ROAD,, ,I,BLOOMFIELD TERRACE,201433718,29/03/2014,Sat,330,DA,CS1,111A 131A ,P,E,D,DO,F ,T,S,X,50,0,0,0,,,1759785,5435804
Hutt City,LOGIE ST,90,W, ,GEORGE ST,201438114,26/04/2014,Sat,1347,BF,CS1C,111A 131A ,,E,D,BF,F , ,N,C,50,0,0,0,,,1765941,5439890
Hutt City,LOGIE ST,, ,I,GEORGE ST,201413349,20/05/2014,Tue,1755,ND,4S2E,370A 724B 830 862 ,,E,D,DO,F ,T,G,C,50,0,0,1,31,,1766029,5439875
Hutt City,LUDLAM CRESCENT,30,N, ,WHITES LINE EAST,201435751,16/04/2014,Wed,1720,JA,CS1C,308B 314B 370B 801 929 ,,R,W,O ,L ,D, ,P,50,0,0,0,,,1759844,5434861
Hutt City,MAIN ROAD,60,S, ,MOORES VALLEY ROAD,201436120,09/05/2014,Fri,1952,EA,VS1C,103A 129A 130A ,M,R,D,DO,F , , ,P,50,0,0,0,,,1763677,5429105
Hutt City,MARINE DRIVE,550,S, ,PORT ROAD,201435515,24/04/2014,Thu,0,DC,CW1,103A 110A 332A ,GI,M,D,DO,F , , ,R,70,0,0,0,,,1759466,5431423
Hutt City,MELLING LINK,, ,I,HIGH ST,201435171,08/04/2014,Tue,2020,HA,CW1C,302A 375A ,,E,W,DO,F ,R,G,C,50,0,0,0,,,1760059,5436591
Hutt City,MELLING LINK,100,S, ,SH 2,201432794,27/02/2014,Thu,751,FD,CN1CC,331A 350A ,,R,D,B ,F , , ,L,50,0,0,0,,,1759866,5436861
Hutt City,MILL ROAD,5,S, ,HUTT ROAD,201436759,29/05/2014,Thu,836,MO,VW1C,371A 386A 929 ,M,R,D,B ,F ,D,N,C,50,0,0,0,,,1757540,5435260
Hutt City,MIROMIRO ROAD,80,N, ,ST JOHNS WAY,201434939,06/01/2014,Mon,1535,BF,CS1V,111A 131A ,,M,D,BF,F , ,N,C,50,0,0,0,,,1758416,5436380
Hutt City,MOHAKA ST,, ,I,PARKWAY,201433793,13/04/2014,Sun,357,DA,CS1C,111A 131A 514A 517A 827 ,FIK,M,W,DO,L ,R,G,R,50,0,0,0,,,1762024,5431548
Hutt City,MOOHAN ST,80,N, ,BULL AVENUE,201411230,01/02/2014,Sat,235,CC,VN1,101A 130A 402A ,FJ,R,D,DO,F , , ,C,50,0,0,1,,,1763626,5429873
Hutt City,MOOHAN ST,80,S, ,NELSON CRESCENT,201436756,30/05/2014,Fri,1200,EA,CN1C,386A ,M,R,D,B ,F , ,N,C,50,0,0,0,,,1763410,5430966
Hutt City,MURITAI ROAD,800,S, ,THE PROMENADE,201431502,21/01/2014,Tue,310,CA,CS1C,130A 431A 812 ,,R,W,DO,  , ,N,N,100,0,0,0,,,1757641,5424966
Hutt City,NAENAE ROAD,, ,I,DAYSH ST,201432226,05/02/2014,Wed,2045,DA,CS2,133A 801 ,P,M,W,DO,L ,R,G,R,50,0,0,0,,,1762920,5436992
Hutt City,NAENAE ROAD,, ,I,SEDDON ST,201411783,27/03/2014,Thu,1635,HA,CW1M,302A ,,E,D,B ,F ,R,G,R,50,0,1,0,,,1763383,5436983
Hutt City,NELSON ST,, ,I,CAMPBELL TERRACE,201432118,11/03/2014,Tue,1130,EA,CN1C,386A ,M,R,D,B ,F ,X,G,C,50,0,0,0,,,1757364,5434723
Hutt City,NORMANDALE ROAD,30,E, ,MIROMIRO ROAD,201437824,07/05/2014,Wed,1630,DA,CW1,402A 503A ,G,M,W,O ,F , ,N,C,50,0,0,0,,,1758511,5436398
Hutt City,OXFORD TERRACE,10,S, ,COPELAND ST,201413015,29/04/2014,Tue,1228,NB,4N1E,711B ,,R,D,BN,F ,T,G,C,50,0,0,1,21,,1761774,5436390
Hutt City,PARENGA ST,30,S, ,OREWA GROVE,201432917,12/03/2014,Wed,435,CC,CS1,101A 112A 130A ,F,R,D,DO,F , , ,N,50,0,0,0,,,1763211,5427788
